         75233 function calls (73726 primitive calls) in 17.930 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 synchronize.py:210(Condition)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        1    0.000    0.000    0.000    0.000 traitlets.py:545(__get__)
        1    0.000    0.000    0.000    0.000 __init__.py:358(_FuncPtr)
       10    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 ElementTree.py:495(QName)
        1    0.000    0.000    0.000    0.000 _mp.py:346(Bookmark)
        1    0.000    0.000    0.000    0.000 _symbology.py:225(RasterClassBreak)
        1    0.000    0.000    0.000    0.000 _solvers.py:31(TravelDirection)
        1    0.000    0.000    0.000    0.000 _solvers.py:82(Importance)
        1    0.000    0.000    0.000    0.000 _sas.py:20(ServiceAreaOutputDataType)
        1    0.000    0.000    0.000    0.000 _sas.py:28(ServiceAreaPolygonCutoffGeometry)
        1    0.000    0.000    0.000    0.000 _sas.py:35(ServiceAreaOverlapGeometry)
        1    0.000    0.000    0.000    0.000 _vrps.py:64(VehicleRoutingProblemSchemaVersion)
        1    0.000    0.000    0.000    0.000 _las.py:41(DecayFunctionType)
        1    0.000    0.000    0.000    0.000 charts.py:19(<listcomp>)
        1    0.000    0.000    0.000    0.000 Mensuration.py:39(PointMeasurement)
        1    0.000    0.000    0.000    0.000 enum.py:798(_missing_)
        4    0.000    0.000    0.000    0.000 pathlib.py:50(_is_wildcard_pattern)
        1    0.000    0.000    0.000    0.000 arcobjects.py:1933(Index)
        1    0.000    0.000    0.000    0.000 geometries.py:80(PointGeometry)
        1    0.000    0.000    0.000    0.000 geometries.py:124(Polygon)
        1    0.000    0.000    0.000    0.000 _mp.py:437(LabelClass)
        1    0.000    0.000    0.000    0.000 utils.py:60(ArgAdaptor)
        1    0.000    0.000    0.000    0.000 _wmx.py:106(Attachment)
        1    0.000    0.000    0.000    0.000 charts.py:227(_scatterPlot)
        1    0.000    0.000    0.000    0.000 pool.py:793(ThreadPool)
        2    0.000    0.000    0.000    0.000 pathlib.py:187(casefold_parts)
        1    0.000    0.000    0.000    0.000 pathlib.py:1356(exists)
        1    0.000    0.000    0.000    0.000 _base.py:70(_ObjectWithoutInitCall)
        1    0.000    0.000    0.000    0.000 mixins.py:1079(ResultMixin)
        1    0.000    0.000    0.000    0.000 _symbology.py:233(Item)
        1    0.000    0.000    0.000    0.000 _symbology.py:240(RasterItem)
        1    0.000    0.000    0.000    0.000 _symbology.py:247(ItemGroup)
        1    0.000    0.000    0.000    0.000 _ga.py:317(GADatasets)
        1    0.000    0.000    0.000    0.000 _ga.py:94(SearchNeighborhoodSmooth)
        1    0.000    0.000    0.000    0.000 _solvers.py:75(LineShapeType)
        1    0.000    0.000    0.000    0.000 _wmx.py:124(QueryResult)
        1    0.000    0.000    0.000    0.000 _wmx.py:46(JobTypeDescription)
        1    0.000    0.000    0.000    0.000 PixelBlockCollection.py:71(PixelBlockCollection)
        1    0.000    0.000    0.000    0.000 time.py:265(<listcomp>)
        1    0.000    0.000    0.000    0.000 queues.py:328(SimpleQueue)
        1    0.000    0.000    0.000    0.000 pathlib.py:1101(iterdir)
        4    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 mixins.py:321(LayoutElementSpecializationMixin)
        1    0.000    0.000    0.000    0.000 mixins.py:916(SpatialReferenceMixin)
        1    0.000    0.000    0.000    0.000 geometries.py:212(Polyline)
        1    0.000    0.000    0.000    0.000 _ga.py:144(SearchNeighborhoodStandardCircular)
        1    0.000    0.000    0.000    0.000 _ga.py:33(SearchNeighborhoodStandard)
        1    0.000    0.000    0.000    0.000 _wmx.py:674(WorkflowPath)
        1    0.000    0.000    0.000    0.000 charts.py:234(_qqPlot)
        1    0.000    0.000    0.000    0.000 charts.py:301(_scatterPlotMatrix)
        1    0.000    0.000    0.000    0.000 pool.py:53(RemoteTraceback)
        1    0.000    0.000    0.000    0.000 pool.py:639(ready)
        1    0.000    0.000    0.000    0.000 connection.py:629(PipeListener)
        1    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
        1    0.000    0.000    0.000    0.000 mixins.py:339(LayerSymbologySpecializationMixin)
        1    0.000    0.000    0.000    0.000 _wmx.py:88(StatusType)
        1    0.000    0.000    0.000    0.000 Utils.py:28(StateSwapper)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:3055(WOTable)
        1    0.000    0.000    0.000    0.000 Mensuration.py:55(LinearMeasurement)
        1    0.000    0.000    0.000    0.000 queues.py:286(JoinableQueue)
        1    0.000    0.000    0.000    0.000 connection.py:268(PipeConnection)
        1    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 pathlib.py:597(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:604(__len__)
        1    0.000    0.000    0.000    0.000 arcobjects.py:408(FeatureSet)
        1    0.000    0.000    0.000    0.000 arcobjects.py:2343(RecordSet)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1139(_ListDataStream)
        1    0.000    0.000    0.000    0.000 _symbology.py:22(constants)
        1    0.000    0.000    0.000    0.000 _wmx.py:70(Priority)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1617(TfGaussian)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1686(TfNear)
        1    0.000    0.000    0.000    0.000 Mensuration.py:83(HeightMeasurement)
        1    0.000    0.000    0.000    0.000 pool.py:629(ApplyResult)
        1    0.000    0.000    0.000    0.000 pool.py:715(IMapIterator)
        1    0.000    0.000    0.000    0.000 syspathcontext.py:45(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        1    0.000    0.000    0.000    0.000 arcobjects.py:2318(RandomNumberGenerator)
        1    0.000    0.000    0.000    0.000 arcobjects.py:2779(Value)
        1    0.000    0.000    0.000    0.000 mixins.py:271(ParameterMixin)
        1    0.000    0.000    0.000    0.000 _rs.py:33(Route)
        1    0.000    0.000    0.000    0.000 _odcms.py:29(OriginDestinationCostMatrix)
        1    0.000    0.000    0.000    0.000 charts.py:310(_legend)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:104(FuzzyGaussian)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:145(FuzzyLarge)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1198(TimeWithinDay)
        1    0.000    0.000    0.000    0.000 Mensuration.py:69(AreaMeasurement)
        1    0.000    0.000    0.000    0.000 pool.py:76(MaybeEncodingError)
        1    0.000    0.000    0.000    0.000 __init__.py:141(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:146(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
        1    0.000    0.000    0.000    0.000 arcobjects.py:864(Filter)
        1    0.000    0.000    0.000    0.000 mixins.py:97(LayerSupportsPropertyMixin)
        1    0.000    0.000    0.000    0.000 _geocoding.py:19(Locator)
        1    0.000    0.000    0.000    0.000 _sas.py:59(ServiceArea)
        1    0.000    0.000    0.000    0.000 _vrps.py:71(VehicleRoutingProblem)
        1    0.000    0.000    0.000    0.000 _las.py:49(LocationAllocation)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:485(HfLinear)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1755(TfLarge)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:2100(TfSymmetricLinear)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:2540(VfBinary)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:3014(VfTable)
        1    0.000    0.000    0.000    0.000 CompoundParameter.py:25(_DataSetName)
        1    0.000    0.000    0.000    0.000 _ia.py:266(Utilities)
        1    0.000    0.000    0.000    0.000 RasterCollection.py:25(_RasterCollectionCursor)
        2    0.000    0.000    0.000    0.000 context.py:196(get_start_method)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 _base.py:20(_ArcobjectPassthrough)
        1    0.000    0.000    0.000    0.000 _symbology.py:206(ColorRamp)
        1    0.000    0.000    0.000    0.000 _ga.py:231(SearchNeighborhoodStandard3D)
        1    0.000    0.000    0.000    0.000 _cfs.py:39(ClosestFacility)
        1    0.000    0.000    0.000    0.000 _wmx.py:621(LinkedProperty)
        1    0.000    0.000    0.000    0.000 charts.py:76(_seriesType)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:309(FuzzyNear)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:581(HfTable)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:687(KrigingModelUniversal)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:765(NbrAnnulus)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:936(NbrWedge)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1246(TimeSpecialDays)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1318(TimeWholeYear)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1893(TfMSLarge)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:2452(TfLogisticDecay)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:2588(VfLinear)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:2753(VfSymInverseLinear)
        1    0.000    0.000    0.000    0.000 synchronize.py:123(Semaphore)
        1    0.000    0.000    0.000    0.000 synchronize.py:321(Event)
        1    0.000    0.000    0.000    0.000 os.py:740(check_str)
        1    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _base.py:79(_ObjectWithoutInitCallWrapper)
        1    0.000    0.000    0.000    0.000 mixins.py:46(SupportsPropertyMixin)
        1    0.000    0.000    0.000    0.000 mixins.py:466(LayerDocumentMixin)
        1    0.000    0.000    0.000    0.000 mixins.py:492(TableViewMixin)
        1    0.000    0.000    0.000    0.000 ElementPath.py:255(_SelectorContext)
        1    0.000    0.000    0.000    0.000 _renderer.py:19(Arc_base)
        1    0.000    0.000    0.000    0.000 _ba.py:85(StandardGeography)
        1    0.000    0.000    0.000    0.000 _ba.py:44(Dataset)
        1    0.000    0.000    0.000    0.000 _ba.py:38(CountryInfo)
        1    0.000    0.000    0.000    0.000 _wmx.py:27(ActivityType)
        1    0.000    0.000    0.000    0.000 __init__.py:59(LocationAllocationSolverProperties)
        1    0.000    0.000    0.000    0.000 _wmx.py:955(WorkflowExecutionResult)
        1    0.000    0.000    0.000    0.000 sharing.py:5(FeatureSharingDraft)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:186(FuzzyLinear)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:227(FuzzyMSLarge)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:268(FuzzyMSSmall)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:350(FuzzySmall)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:403(HfBinary)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:444(HfForward)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:626(KrigingModelOrdinary)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:813(NbrCircle)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:854(NbrIrregular)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:888(NbrRectangle)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1037(RadiusVariable)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1078(RadiusFixed)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1124(_Remap)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1270(TimeMultipleDays)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:2031(TfLinear)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:2169(TfExponential)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:2238(TfLogarithm)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:2307(TfPower)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:2376(TfLogisticGrowth)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:2643(VfInverseLinear)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:2856(VfSec)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:2904(VfCosSec)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:3114(WSTable)
        1    0.000    0.000    0.000    0.000 connection.py:142(_check_writable)
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
        1    0.000    0.000    0.000    0.000 mixins.py:884(ArcSDESQLExecuteMixin)
        1    0.000    0.000    0.000    0.000 mixins.py:959(FieldMappingsMixin)
        1    0.000    0.000    0.000    0.000 mixins.py:1050(PointMixin)
        1    0.000    0.000    0.000    0.000 utils.py:246(RASTER_SENTINEL)
        1    0.000    0.000    0.000    0.000 _ba.py:68(GeographyLevel)
        1    0.000    0.000    0.000    0.000 _ga.py:199(SearchNeighborhoodSmoothCircular)
        1    0.000    0.000    0.000    0.000 __init__.py:67(TravelMode)
        1    0.000    0.000    0.000    0.000 sharing.py:25(TileSharingDraft)
        1    0.000    0.000    0.000    0.000 sharing.py:45(MapImageSharingDraft)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:97(_FuzzyMembership)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:533(HfInverseLinear)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:753(_Neighborhood)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:991(NbrWeight)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1361(_TopoInputNestedList)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1407(TopoPointElevation)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1583(TopoExclusion)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1824(TfSmall)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1962(TfMSSmall)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:2698(VfSymLinear)
        1    0.000    0.000    0.000    0.000 pool.py:59(ExceptionWithTraceback)
        1    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        1    0.000    0.000    0.000    0.000 {built-in method from_iterable}
        1    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        1    0.000    0.000    0.000    0.000 mixins.py:142(RowMixin)
        1    0.000    0.000    0.000    0.000 mixins.py:388(LayerIterationMixin)
        1    0.000    0.000    0.000    0.000 mixins.py:979(ExtentMixin)
        1    0.000    0.000    0.000    0.000 mixins.py:1024(FieldInfoMixin)
        1    0.000    0.000    0.000    0.000 _colorizer.py:19(Arc_base)
        1    0.000    0.000    0.000    0.000 _ba.py:56(Variable)
        1    0.000    0.000    0.000    0.000 _wmx.py:226(Workflow)
        1    0.000    0.000    0.000    0.000 _wmx.py:40(JobType)
        1    0.000    0.000    0.000    0.000 __init__.py:104(RouteSolverProperties)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1030(_Radius)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1141(RemapRange)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1163(RemapValue)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1191(_Time)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1385(_TopoInputList)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1429(TopoContour)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1517(TopoLake)
        1    0.000    0.000    0.000    0.000 pool.py:674(MapResult)
        1    0.000    0.000    0.000    0.000 connection.py:755(ConnectionWrapper)
        1    0.000    0.000    0.000    0.000 connection.py:777(XmlListener)
        2    0.000    0.000    0.000    0.000 enum.py:906(<lambda>)
        3    0.000    0.000    0.000    0.000 {method 'locked' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 mixins.py:135(CursorMixin)
        1    0.000    0.000    0.000    0.000 mixins.py:202(_passthrough)
        1    0.000    0.000    0.000    0.000 mixins.py:342(_passthrough)
        1    0.000    0.000    0.000    0.000 mixins.py:510(DataFrameMixin)
        1    0.000    0.000    0.000    0.000 mixins.py:907(NetCDFFilePropertiesMixin)
        1    0.000    0.000    0.000    0.000 mixins.py:967(FieldMapMixin)
        1    0.000    0.000    0.000    0.000 mixins.py:973(FieldMixin)
        1    0.000    0.000    0.000    0.000 mixins.py:1030(FeatureSetMixin)
        1    0.000    0.000    0.000    0.000 ElementTree.py:105(ParseError)
        1    0.000    0.000    0.000    0.000 geometries.py:29(Annotation)
        1    0.000    0.000    0.000    0.000 geometries.py:32(Dimension)
        1    0.000    0.000    0.000    0.000 geometries.py:35(Multipatch)
        1    0.000    0.000    0.000    0.000 _renderer.py:24(Base_renderer)
        1    0.000    0.000    0.000    0.000 __init__.py:51(ClosestFacilitySolverProperties)
        1    0.000    0.000    0.000    0.000 __init__.py:79(NAClassFieldMappings)
        1    0.000    0.000    0.000    0.000 __init__.py:88(NAClassFieldMap)
        1    0.000    0.000    0.000    0.000 __init__.py:111(ServiceAreaSolverProperties)
        1    0.000    0.000    0.000    0.000 charts.py:71(_arc_base)
        1    0.000    0.000    0.000    0.000 sharing.py:68(MapServiceSharingDraft)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:396(_HorizontalFactor)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:620(_KrigingModel)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1357(_TopoInput)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1451(TopoStream)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1473(TopoSink)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1495(TopoBoundary)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1539(TopoCliff)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1561(TopoCoast)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:1610(_TransformationFunction)
        1    0.000    0.000    0.000    0.000 ParameterClasses.py:2533(_VerticalFactor)
        1    0.000    0.000    0.000    0.000 pool.py:619(__enter__)
        1    0.000    0.000    0.000    0.000 pool.py:779(IMapUnorderedIterator)
        1    0.000    0.000    0.000    0.000 synchronize.py:142(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 synchronize.py:159(Lock)
        1    0.000    0.000    0.000    0.000 synchronize.py:184(RLock)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:22(_path_eq)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        1    0.000    0.000    0.000    0.000 mixins.py:1015(ValueTableMixin)
        1    0.000    0.000    0.000    0.000 mixins.py:1040(RecordSetMixin)
        1    0.000    0.000    0.000    0.000 _colorizer.py:24(Base_raster)
        1    0.000    0.000    0.000    0.000 __init__.py:73(StreetDirectionsProperties)
        1    0.000    0.000    0.000    0.000 __init__.py:96(ODCostMatrixSolverProperties)
        1    0.000    0.000    0.000    0.000 __init__.py:119(VehicleRoutingProblemSolverProperties)
        1    0.000    0.000    0.000    0.000 charts.py:102(_guide)
        1    0.000    0.000    0.000    0.000 __init__.py:142(<listcomp>)
        1    0.000    0.000    0.000    0.000 mixins.py:324(_passthrough)
