         75233 function calls (73726 primitive calls) in 17.930 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      897    0.000    0.000    0.000    0.000 inspect.py:2529(kind)
        1    0.000    0.000    0.000    0.000 geometries.py:15(<module>)
       55    0.000    0.000    0.000    0.000 inspect.py:484(unwrap)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      406    0.000    0.000    0.000    0.000 {method 'is_dir' of 'nt.DirEntry' objects}
        1    0.000    0.000    0.002    0.002 _base.py:563(__init__)
        9    0.000    0.000    0.125    0.014 util.py:205(__call__)
        2    0.000    0.000    0.001    0.000 tempfile.py:382(mktemp)
      444    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        4    0.000    0.000    0.001    0.000 typing.py:1366(__new__)
        1    0.000    0.000    0.000    0.000 connection.py:10(<module>)
       11    0.000    0.000    0.005    0.000 sre_compile.py:759(compile)
      113    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      260    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    2.358    1.179 _base.py:14(<module>)
        4    0.000    0.000    0.001    0.000 typing.py:1342(_make_nmtuple)
        1    0.000    0.000    0.000    0.000 mixins.py:145(ArrayMixin)
      111    0.000    0.000    0.000    0.000 importer.py:166(find_module)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        3    0.000    0.000    0.000    0.000 threading.py:763(__init__)
      220    0.000    0.000    0.000    0.000 inspect.py:158(isfunction)
        1    0.000    0.000    0.000    0.000 un.py:15(<module>)
      292    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       19    0.000    0.000    0.000    0.000 ntpath.py:178(split)
        1    0.000    0.000    0.032    0.032 _ga.py:17(<module>)
       31    0.000    0.000    0.000    0.000 enum.py:130(__prepare__)
       16    0.000    0.000    0.001    0.000 iostream.py:382(write)
      113    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       18    0.000    0.000    0.001    0.000 iostream.py:195(schedule)
       72    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        4    0.000    0.000   14.366    3.591 threading.py:534(wait)
      229    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
        8    0.000    0.000    0.000    0.000 process.py:53(_cleanup)
       17    0.000    0.000    0.000    0.000 time.py:247(FixDTString)
      135    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      237    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        1    0.000    0.000    0.005    0.005 ElementTree.py:34(<module>)
       85    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.004    0.004 _wmx.py:2(<module>)
        4    0.000    0.000   14.365    3.591 threading.py:264(wait)
    17/12    0.000    0.000    0.117    0.010 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.000    0.000 pathlib.py:1024(__new__)
       24    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        4    0.000    0.000    0.000    0.000 threading.py:216(__init__)
      107    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
       22    0.000    0.000    0.000    0.000 util.py:48(debug)
        1    0.000    0.000    0.000    0.000 nax.py:15(<module>)
        2    0.000    0.000    0.001    0.001 connection.py:525(Pipe)
        1    0.000    0.000    0.013    0.013 pathlib.py:1115(glob)
       11    0.000    0.000    0.002    0.000 sre_parse.py:913(parse)
       11    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.000    0.000 Raster.py:65(Raster)
        1    0.000    0.000    0.000    0.000 time.py:279(<listcomp>)
        2    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
        2    0.000    0.000    0.001    0.000 connection.py:69(arbitrary_address)
        1    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
